CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,Muscle,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,ANALFIN,CYST.UNKN.CAUDALFIN,CYST.UNK.DORSALFIN,GONAD,LIVER,KIDNEY,TREM.DIPS.EYE,HEART,STOMACH,NEMA.L.CONNECTIVE_TISSUE,NEMA.STY.INTESTINE,NEM.LARV.INTESTINE,CEST.BOTSP.INTESTINE,MONO.SALSP.GILL,MONO.SS.GILLS,MYXO.G.GILL,MONO.UNK.GILL,CYST.UNK.GILL,MYXO.MXYID.GALLBLADDER(PRESENCE1_ABSENCE0),CRUS.LERSP.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1 Box Number,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2 Box Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3 Box Number,P3_Label:fishID,P3_label:Parasites_Code,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4 Box_number,P4_Label:fishID,P4_label:Parasites_Code,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5 Box Number,P5_Label:fishID,P5_label:Parasites_Code,P5 Notes
MSB:Fish:280,MSB 280-3,Gambusia affinis,1949,10,28,JAR8830F,BP,07-08-2025,07-08-2025,28,20,184,EO,F,Arthropod,"one of the fish organs, likely spleen, is covered in red/orange spots. Was pictured because odd, but not parasitic",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:280,MSB 280-2,Gambusia affinis,1949,10,28,JAR8831F,JG,07-08-2025,07-08-2025,42,33,733,KL,F,"Arthropod , spider",,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,MSB 280-2,Gambusia affinis,JAR8831F,Monogenea,3,KL,KL,NA,Gill,70% etoh,P6L5W,5,MSB 280-2,MONO.SS.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1081,MSB 1081-1,Gambusia affinis,1939,3,17,JAR8837F,BP,07-08-2025,07-08-2025,43,33,868,BP,F,Arthropod,"reselected, caudal fin cysts present",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,MSB 1081-1,Gambusia affinis,JAR8837F,Salsuginus sp.,4,BP,BP,Adult,Gill,70% etoh,P6L3U,5,MSB 1081-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7971,MSB 7971-2,Gambusia affinis,1990,10,22,JAR8910F,BP,07-09-2025,07-09-2025,29,24,264,EO,F,Arthropod,Patterned cysts on caudal fin,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,MSB 7971-2,Gambusia affinis,JAR8910F,Salsuginus sp.,1,EO,EO,Adult,Gill,70% etoh,P6L4Y,5,MSB 7971-2,MONO.SALSP.GOILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4385,MSB 4385-5,Gambusia affinis,1978,8,6,JAR8838F,EO,07-08-2025,07-09-2025,27,22,197,JG,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 4385-5,Gambusia affinis,JAR8838F,Salsuginus sp.,1,JG,JG,Adult,Gill,70% etoh,P6L5A,5,MSB 4385-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4385,MSB 4385-3,Gambusia affinis,1978,8,6,JAR8845F,KL,07-08-2025,07-09-2025,27,23,204,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,MSB 4385-3,Gambusia affinis,JAR8845F,Diplostomulum sp.,2,KL,KL,Metacercariae,Eye,70% etoh,P6L60,5,MSB 4385-3,TREM.DISP.EYE,,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L61,5,MSB 4385-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7971,MSB 7971-5,Gambusia affinis,1990,10,22,JAR8916F,EO,07-09-2025,07-09-2025,28,21,207,BP,F,Arthropod,Caudal fin cysts present,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,MSB 7971-5,Gambusia affinis,JAR8916F,Myxidium sp.,1,BP,BP,NA,Gall bladder,70% etoh,P6L3T,5,MSB 7971-5,MYXO.MYXID.GALLBLADDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4748,MSB 4748-3,Gambusia affinis,1978,9,5,JAR8907F,BP,07-09-2025,07-09-2025,34,27,362,EO,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,NA,0,,MSB 4748-3,Gambusia affinis,JAR8907F,Unknown cyst,1,EO,EO,NA,Gill,70% etoh,P6L4W,5,MSB 4748-3,CYST.UNK.GILL,,Salsuginus sp.,4,EO,EO,Adult,Gill,70% etoh,P6L4X,5,MSB 4748-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4748,MSB 4748-1,Gambusia affinis,1978,9,5,JAR8904F,BP,07-09-2025,07-09-2025,33,25,374,JG,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,MSB 4748-1,Gambusia affinis,JAR8904F,Salsuginus sp.,2,JG,JG,Adult,Gill,70% etoh,P6L63,5,MSB 4748-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4385,MSB 4385-1,Gambusia affinis,1978,8,6,JAR8841F,KL,07-08-2025,07-09-2025,25,21,161,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,,MSB 4385-1,Gambusia affinis,JAR8841F,Diplostomulum sp.,1,KL,KL,Metacercariae,Eye,70% etoh,P6L5B,5,MSB 4385-1,TREM.DIPS.EYE,,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L5C,5,MSB 4385-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7971,MSB 7971-4,Gambusia affinis,1990,10,22,JAR8914F,BP,07-09-2025,07-09-2025,26,21,155,GC,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,,MSB 7971-4,Gambusia affinis,JAR8914F,Salsuginus sp.,2,GC,GC,Adult,Gill,70% etoh,P6L62,5,MSB 7971-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4385,MSB 4385-2,Gambusia affinis,1978,8,6,JAR8843F,EO,07-08-2025,07-09-2025,30,26,273,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 4385-2,Gambusia affinis,JAR8843F,Diplostomulum sp.,3,KL,KL,Metacercariae,Eye,70% etoh,P6L5Y,5,MSB 4385-2,TREM.DIPS.EYE,,Salsuginus sp.,1,KL,KL,ADULT,Gill,70% etoh,P6L5Z,5,MSB 4385-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7971,MSB 7971-1,Gambusia affinis,1990,10,22,JAR8912F,EO,07-09-2025,07-09-2025,38,30,560,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,MSB 7971-1,Gambusia affinis,JAR8912F,Monogenea,2,KL,KL,NA,Gill,70% etoh,P6L5D,5,MSB 7971-1,MONO.SS.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7971,MSB 7971-3,Gambusia affinis,1990,10,22,JAR8908F,EO,07-09-2025,07-09-2025,33,25,370,BP,F,NA,"Caudal fin cysts present, mold growing over body",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,MSB 7971-3,Gambusia affinis,JAR8908F,Myxidium sp.,1,BP,BP,NA,Gall bladder,70% etoh,P6L3S,5,MSB 7971-3,MYXO.MYXID.GALLBLADDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4385,MSB 4385-4,Gambusia affinis,1978,8,6,JAR8839,KL,07-08-2025,07-09-2025,26,22,222,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,,MSB 4385-4,Gambusia affinis,JAR8839F,Diplostomulum sp.,2,GC,GC,Metacercariae,Eye,70% etoh,P6L47,5,MSB 4385-4,TREM.DIPS.EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4748,MSB 4748-4,Gambusia affinis,1978,9,5,JAR8906F,EO,07-09-2025,07-09-2025,29,23,213,GC,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4748,MSB 4748-2,Gambusia affinis,1978,9,5,JAR8909F,EO,07-09-2025,07-09-2025,36,28,522,JG,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:327,MSB 327-1,Gambusia affinis,1942,2,28,JAR8840F,EO,07-08-2025,07-09-2025,45,36,927,GC,F,Vegetation,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:327,MSB 327-4,Gambusia affinis,1942,2,28,JAR8842F,EO,07-08-2025,07-09-2025,32,25,257,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:327,MSB 327-3,Gambusia affinis,1942,2,28,JAR8846F,BP,07-08-2025,07-09-2025,45,36,910,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:327,MSB 327-5,Gambusia affinis,1942,2,28,JAR8844F,BP,07-08-2025,07-09-2025,25,20,131,GC,F,NA,Pectoral fin ripped missing half,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:327,MSB 327-2,Gambusia affinis,1942,2,28,JAR8903F,EO,07-08-2025,07-09-2025,47,38,1118,JG,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:305,MSB 305-2,Gambusia affinis,1949,7,21,JAR8913F,BP,07-09-2025,07-09-2025,41,32,810,GC,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,NA,0,,MSB 305-2,Gambusia affinis,JAR8913F,Salsuginus sp.,17,GC,GC,Adult,Gill,70% etoh,P6L3X,5,MSB 305-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:305,MSB 305-3,Gambusia affinis,1949,7,21,JAR8915F,BP,07-09-2025,07-09-2025,39,31,840,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,,MSB 305-3,Gambusia affinis,JAR8915F,Salsuginus sp.,30,KL,KL,Adult,Gill,70% etoh,P6L48,5,MSB 305-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4748,MSB 4748-5,Gambusia affinis,1978,9,5,JAR8905F,BP,07-09-2025,07-09-2025,30,24,278,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 4748-5,Gambusia affinis,JAR8905F,Diplostomulum sp.,1,GC,GC,Adult,Eye,70% etoh,P6L3Y,5,MSB 4748-5,TREM.DIPS.EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:305,MSB 305-1,Gambusia affinis,1949,7,21,JAR8911F,BP,07-09-2025,07-09-2025,38,30,653,JG,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,,MSB 305-1,Gambusia affinis,JAR8911F,Salsuginus sp.,16,JG,JG,Adult,Gill,70% etoh,P6L5E,5,MSB 305-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:305,MSB 305-5,Gambusia affinis,1949,7,21,JAR8918F,BP,07-09-2025,07-09-2025,41,34,848,KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,NA,0,,MSB 305-5,Gambusia affinis,JAR8918F,Salsuginus sp.,21,KL,KL,Adult,Gill,70% etoh,P6L49,5,MSB 305-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:2795,MSB 2795-4,Gambusia affinis,1969,4,2,JAR8920F,BP,07-09-2025,07-09-2025,29,24,236,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,CYST.UNK lost,MSB 2795-4,Gambusia affinis,JAR8920F,Salsuginus sp.,3,KL,KL,Adult,Gill,70% etoh,P6L4A,5,MSB 2795-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:2795,MSB 2795-3,Gambusia affinis,1969,4,2,JAR8921F,BP,07-09-2025,07-09-2025,46,37,885,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,MSB 2795-3,Gambusia affinis,JAR8921F,Salsuginus sp.,2,GC,GC,Adult,Gill,70% etoh,P6L46,5,MSB 2795-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:2795,MSB 2795-5,Gambusia affinis,1969,4,2,JAR8919F,BP,07-09-2025,07-09-2025,25,19,105,JG,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:305,MSB 305-4,Gambusia affinis,1949,7,21,JAR8917F,BP,07-09-2025,07-09-2025,26,21,146,EO,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,MSB 305-4,Gambusia affinis,JAR8917F,Salsuginus sp.,3,EO,EO,Adult,Gill,70% etoh,P6L4Z,5,MSB 305-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:2795,MSB 2795-2,Gambusia affinis,1969,4,2,JAR8925F,BP,07-09-2025,07-09-2025,31,24,325,GC,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,,MSB 2795-2,Gambusia affinis,JAR8925F,Salsuginus sp.,2,GC,GC,Adult,Gill,70% etoh,P6L45,5,MSB 2795-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:2795,MSB 2795-1,Gambusia affinis,1969,4,2,JAR8932F,BP,07-09-2025,07-09-2025,45,35,820,JG,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,,MSB 2795-1,Gambusia affinis,JAR8923F,Unknown cyst,1,JG,JG,NA,Gill,70% etoh,P6L4B,6,MSB 2795-1,CYST.UNK.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:326,MSB 326-3,Gambusia affinis,1949,7,21,JAR8931F,KL,07-09-2025,07-09-2025,36,30,581,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1082,MSB 1082-2,Gambusia affinis,1938,10,18,JAR8928F,EO,07-09-2025,07-09-2025,40,33,627,GC,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,MSB 1082-2,Gambusia affinis,JAR8928F,Salsuginus sp.,5,GC,GC,Adult,Gill,70% etoh,P6L3Z,6,MSB 1082-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:326,MSB 326-4,Gambusia affinis,1949,7,21,JAR8933F,EO,07-09-2025,07-09-2025,33,27,421,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,,MSB 326-4,Gambusia affinis,JAR8933F,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L5F,6,MSB 326-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1082,MSB 1082-1,Gambusia affinis,1938,10,18,JAR8930F,BP,07-09-2025,07-09-2025,41,32,722,EO,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,MSB 1082-1,Gambusia affinis,JAR8930F,Salsuginus sp.,5,EO,EO,Adult,Gill,70% etoh,P6L50,6,MSB 1082-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1082,MSB 1082-4,Gambusia affinis,1938,10,18,JAR8934F,BP,07-09-2025,07-09-2025,31,24,264,BP,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:326,MSB 326-5,Gambusia affinis,1949,7,21,JAR8924F,EO,07-09-2025,07-09-2025,38,32,628,JG,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,MSB 326-5,Gambusia affinis,JAR8924F,Salsuginus sp.,2,JG,JG,Adult,Gill,70% etoh,P6L5G,6,MSB 326-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:326,MSB 326-1,Gambusia affinis,1949,7,21,JAR8922F,KL,07-09-2025,07-10-2025,33,27,355,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,,MSB 326-1,Gambusia affinis,JAR8922F,Unknown cyst,6,KL,KL,NA,Gill,70% etoh,P6L4C,6,MSB 326-1,CYST.UNK.GILL,saved 1 gill arch but too difficult to extract for a possible non-parasite,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L4D,6,MSB 326-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1085,MSB 1085-5,Gambusia affinis,1939,5,13,JAR8935F,JG,07-10-2025,07-10-2025,50,39,1499,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 1085-5,Gambusia affinis,JAR8935F,Salsuginus sp.,1,GC,GC,Adult,Gill,70% etoh,P6L40,6,MSB 1085-5,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:326,MSB 326-2,Gambusia affinis,1949,7,21,JAR8926F,KL,07-09-2025,07-10-2025,34,28,560,GC,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,0,,MSB 326-2,Gambusia affinis,JAR8926F,Salsuginus sp.,3,GC,GC,Adult,Gill,70% etoh,P6L44,6,MSB 326-2,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1085,MSB 1085-2,Gambusia affinis,1939,5,13,JAR8937F,JG,07-10-2025,07-10-2025,26,21,147,GC,M,NA,Caudal fin missing,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1085,MSB 1085-1,Gambusia affinis,1939,5,13,JAR8932F,JG,07-10-2025,07-10-2025,41,33,809,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1085,MSB 1085-4,Gambusia affinis,1939,5,13,JAR8941F,JG,07-10-2025,07-10-2025,44,36,1060,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4453,MSB 4453-5,Gambusia affinis,1978,9,5,JAR8940F,EO,07-10-2025,07-10-2025,27,22,167,GC,M,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1085,MSB 1085-3,Gambusia affinis,1939,5,13,JAR8939F,JG,07-10-2025,07-10-2025,42,34,861,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1082,MSB 1082-5,Gambusia affinis,1938,10,18,JAR8927F,EO,07-09-2025,07-10-2025,25,21,140,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1105,MSB 1105-1,Gambusia affinis,1939,1,20,JAR11362F,JG,07-10-2025,07-10-2025,30,24,202,GC,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0,,MSB 1105-1,Gambusia affinis,JAR11362F,Salsuginus sp.,4,GC,GC,Adult,Gill,70% etoh,P6L42,6,MSB 1105-1,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4453,MSB 4453-3,Gambusia affinis,1978,9,5,JAR8938F,EO,07-10-2025,07-10-2025,28,22,149,KL,M,NA,Red spotted spleen(?),0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,MSB 4453-3,Gambusia affinis,JAR8938F,Salsuginus sp.,1,KL,KL,Adult,Gill,70% etoh,P6L5K,6,MSB 4453-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:3391,MSB 3391-2,Gambusia affinis,1965,5,18,JAR11366F,EO,07-10-2025,07-10-2025,28,23,188,GC,M,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,,MSB 3391-2,Gambusia affinis,JAR11366F,Diplostomulum sp.,2,GC,GC,Metacercariae,Eye,70% etoh,P6L4P,6,MSB 3391-2,TREM.DIPS.EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
