InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,NotesOnSpecimenPriorToDissection,ParasitesFound,Skin,BuccalCavity,BodyCavity,TREM.LARV.PectoralFin,TREM.MID.PECTORALFIN,TREM.LG.PECTORALFIN,CYST.UNK.Pectoral,TREM.LG.FIN Pelvic Fin,TREM.LARV.PelvicFin,TREM.MID.PELVICFIN,TREM.LG.FIN Anal Fin,TREM.LARV.AnalFin,TREM.MID.ANALFIN,CYST.NEH.ANAL FIN,TREM.LARV.CaudalFin,TREM.LG.FIN.Caudal,TREM.MID.CAUDALFIN,MYX.TAIL.Caudal,CYST.UNK.Caudal,TREM.LARV.DorsalFin,TREM.MID.DORSALFIN,TREM.LG.DORSALFIN,MYX.TAIL.Dorsal,Gonad,CYST.UNK.Liver,NEM.CYST.Liver,Spleen,CYST.UNK.Kidney,CYST.UNK.Eye,Heart,ACAN.OSTR. Stomach ,NEM.PHAR.Stomach,NEM.NMTS.Stomach,TREM.F.STOMACH,TREM.MEGICT.Stomach,WORM.UNK.Stomach,CYST.UNK.ConnectiveTissue,CYST.MX.ConnectiveTissue,CYST.NEM.ConnectiveTissue,TREM.BLE.ConnectiveTissue,TREM.UNK.ConnectiveTissue,TREM.F.ConnectiveTIssue,ACANTH.OSTR.INTESTINE,NEM.PHAR.INTESTINE,NEM.SP.INTESTINE,NEM.PTY.INTESTINE,NEM.NMTS.Intestine,NEM.UNK.Intestine,NMORPH.INT.Intestine,TREM.MEGICT.Intestine,TREM.CREP.INTESTINE,TREM.UNKN.Intestine,TREM.ALLO.Intestine,TREM.LIP.Intestine,TREM.SMILE.Intestine,TREM.BLE.Intestine,CEST.MEG.Intestine,CEST.COMP.Intestine,MYX.GEOM.Intestine,CYST.UNK.Intestine,WORM.UNK.B.intestine,CYST.BD.GILL,CYST.MX.GILL,CYST.UNKN.GILL,MONO.IP.GILL,MONO.UNKN.GILL,META.UNK.GILL,META.GG.gill,NEM.UNK.gill,NEM.PHAR.GILL,NEM.NMTS.FLUSH,NEM.TAF.Flush,NEM.PHAR.Flush,TREM.MEGICT.FLUSH,TREM.2.FLUSH,TREM.META.FLUSH,TREM.ALLO.Flush,MONO.IP.FLUSH,CYST.UNK.Flush,LEECH.KUT.FLUSH,CYST.UNK. URINARY BLADDER,,VOUCH.CYST.MEG,VOUCH.NEM.TAF,VOUCH.NEM.PHAR,VOUCH.NEM.PTY,VOUCH.NEM.SP,VOUCH.NEM.NMTS,VOUCH.NEM.UNK,VOUCH.TREM.MEGICT,VOUCH.TREM.CREP,VOUCH.TREM.F,VOUCH.TREM.2,VOUCH.TREM.LG.FIN,VOUCH.TREM.ALLO,VOUCH.TREM.LIP,VOUCH.TREM.UNK,VOUCH.TREM.BLE,VOUCH.TREM.SMILE,VOUCH.TREM.PHYCS,VOUCH.MONO.IP,VOUCH.CYST.MX,VOUCH.CYST.BD,VOUCH.CYST.NEM,VOUCH.CYST.UNK,VOUCH.MYXO.TAIL,VOUCH.MYX.GEOM,VOUCH.CEST.COMP,VOUCH.WORM.UNK,VOUCH.ACAN.OSTR,VOUCH.LEECH.KUT,VOUCH.META.GG,ParasitesMounted,MOUNT.NEM.TAF,MOUNT.NEM.PHAR,MOUNT.NEM.PTY,MOUNT.NEM.SP,MOUNT.TREM.MEGICT,MOUNT.TREM.CREP,MOUNT.TREM.F,MOUNT.TREM.2,MOUNT.MONO.IP,MOUNT.CYST.MX
TU,40125,10,Ictalurus punctatus,,,Pearl River,1966,3,17,Suttkus and Barbour,,,40125_02,gmc cnw kl,1/23/2024,na,68,52,,,,0,0,0,0,28,0,0,0,0,3,0,0,13,0,0,0,87,0,0,0,2,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,40125,10,Ictalurus punctatus,,,Pearl River,1966,3,17,Suttkus and Barbour,,,40125_01,ht kl sd gmc,1/23/2024,na,91,74,,,,0,0,0,0,1,0,0,0,0,0,0,0,109,0,0,0,149,0,0,0,0,1,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,63780,357,Ictalurus punctatus,,,Pearl River at sand bar approx. 0.5 mi below Richardshon Landing,1970,7,9,Thompson and Gunning,,,63780_02,JT DJB KL,6/25/2024,M,40,37,75.9,352 viable in lot due to size (5 over 15cm),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,31060,35,Ictalurus punctatus,,,"Pearl River at river mile 53.7, 2.3 mi SE of Bogalusa",1963,8,30,Suttkus and Gunning,,,31060-02,SC KL,6/25/2024,NA,52,41,99.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,58071,167,Ictalurus punctatus,,,Pearl River 0.5 mi below Richardson Landing 1.5 mi SE of Bogalusa,1969,7,14,Suttkus and Thompson,,,58071_01,IJ DJB CJW,6/25/2024,NA,39,31,465,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,193706,13,Ictalurus punctatus,,,Pearl River along left bank at river mile 54,2002,1,26,RD and JS Suttkus,,,193706_02,IJ JT KL DB,6/25/2024,NA,95,78,509.6,CYST.NEM present in fins,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,63780,357,Ictalurus punctatus,,,Pearl River at sand bar approx. 0.5 mi below Richardshon Landing,,7,9,Thompson and Gunning,,,63780_01,SC DMDM,6/25/2024,NA,47,36,70.1,352 viable in lot due to size (5 over 15cm),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,198297,4,Ictalurus punctatus,,,Pearl River along left bank at River mile 54,2005,2,12,RD and JS Suttkus,,,198297_01,JT SC CJW,6/25/2024,NA,58,44,122,Discoloration on spleen but nothing inside/ CYST.NEM in fins,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,na,0,0,0,na,0,na,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,193706,13,Ictalurus punctatus,,,Pearl River along left bank river mile 54,2003,1,26,RD and JS Suttkus,,,193706_01,DJB GMC,6/25/2024,NA,107,79,834.2,CYST.H Present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,31177,10,Ictalurus punctatus,,,"Pearl R, 0.5mi downstream from Richardson Ldg, 1.5mi SE Bogalusa",1963,5,20,Suttkus and Gunning,,,31177_02,JT DMDM,6/25/2024,NA,79,60,323.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,198297,4,Ictalurus punctatus,,,Pearl River along left bank at River mile 54,2005,2,12,RD and JS Suttkus,,,198297_01,SC DMDM,6/25/2024,NA,60,47,140.3,CYST.NEH Present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,na,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,31542,12,Ictalurus punctatus,,,Pearl River @ Mile 54; 2.3 mi SE of Bogalusa,1963,10,24,Suttkus and Gunning,,,31542_01,IJ GMC,6/25/2024,NA,90,78,506.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,na,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,161,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,40616,7,Ictalurus punctatus,,,Pearl River just above Coburn Creek 1.4mi E of Bogalusa,1966,4,22,Suttkus and Gunning,,,40616_02,JT DJB GMC,6/25/2024,NA,52,39,90.2,CYST.H present caudal and anal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,83744,239,Ictalurus punctatus,,,"Pearl River sand bar, 0.5 mile below Richardson Lndg",1973,7,11,Suttkus and Thompson,,,83744_01,SC DJB CJW,6/25/2024,NA,51,40,93,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,108500,302,Ictalurus punctatus,,,Pearl River along right bank 0.5 mi below Richardson Ldg 1.5mi SE Bogalusa,1978,7,19,Suttkus and Sorensen,,,108500_02,IJ BJB DMDM,6/25/2024,NA,54,38,102.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,37835,23,Ictalurus punctatus,,,Pearl River between Coburn + Bogalusa Creek; 1.4mi E of Bogalusa,1965,5,21,Suttkus and Gunning,,,37835_01,IJ DJB KL,6/25/2024,NA,99,68,535.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,108500,302,Ictalurus punctatus,,,Pearl River along right bank 0.5 mi below Richardson Ldg 1.5mi SE Bogalusa,1978,7,19,Suttkus and Sorensen,,,108500_01,SC DJB CJW,6/25/2024,NA,31,26,22,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,na,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,31542,12,Ictalurus punctatus,,,Pearl River @ Mile 54; 2.3 mi SE of Bogalusa,1963,10,24,Suttkus and Gunning,,,31542_02,SC DJB KL,6/25/2024,NA,80,65,353.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,58071,167,Ictalurus punctatus,,,Pearl River 0.5 mi below Richardson Landing 1.5 mi SE of Bogalusa,1969,7,14,Suttkus and Thompson,,,58071_02,JT KL ,6/25/2024,NA,49,38,91.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TU,83744,239,Ictalurus punctatus,,,"Pearl River sand bar, 0.5 mile below Richardson Lndg",1973,7,11,Suttkus and Thompson,,,83744_02,JT DJB DMDM,6/25/2024,NA,62,48,166.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
